filename,filepath,emotion,transcription,dataset,emotion_label,gender,method,session
Ses04M_script02_2_M042,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M042.wav,xxx,Or not.,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_M040,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M040.wav,hap,"I don't know.  It seemed like a good spot to me.  I mean, look at the view you've got of the moon from here.",IEMOCAP,happy,M,script,4
Ses04M_script02_2_M041,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M041.wav,hap,"Shh.  If we're very quiet, the fish might come.",IEMOCAP,happy,M,script,4
Ses04M_script02_2_F015,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F015.wav,xxx,Do you remember the first time we came to see it?,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_F001,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F001.wav,xxx,About what?,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_F029,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F029.wav,ang,But this isn't anything like I thought anything would be like.,IEMOCAP,angry,M,script,4
Ses04M_script02_2_M034,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M034.wav,ang,"No, I know, me neither.",IEMOCAP,angry,M,script,4
Ses04M_script02_2_M020,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M020.wav,neu,"Wait a minute, I've got it.",IEMOCAP,neutral,M,script,4
Ses04M_script02_2_M008,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M008.wav,xxx,Why not?,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_M009,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M009.wav,xxx,We've missed them twice.,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_M021,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M021.wav,neu,"It was in the car, right?  Driving past the Knickerbocker Liquor Locker?  You said let's get some champagne and I said times a wasting or something like that.  Right?  That's it, right?  You want this to be like the other time.  That's it.  Of course.",IEMOCAP,neutral,M,script,4
Ses04M_script02_2_M035,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M035.wav,fru,I'm doing the best I can.,IEMOCAP,frustrated,M,script,4
